Date,Open,High,Low,Close,Adj Close,Volume
15/7/14,809.75,814.487,804.263,806.411987,713.263916,2069900
16/7/14,810,811.25,800.812012,807.400024,714.137756,2294744
17/7/14,815.025024,836.474976,807.911987,809.825012,716.282654,2473336
18/7/14,813.25,818.674988,810.900024,812.888,718.991821,2049184
21/7/14,813.75,818.338013,797.025024,800.174988,707.747253,3717984
22/7/14,801.25,811.674988,799.513,808.424988,715.044495,4366680
23/7/14,812.25,838.75,812.25,837.362,740.638916,5913668
24/7/14,836,848.75,830.362,845.562012,747.891663,2785780
25/7/14,849.75,849.75,826.174988,838.049988,741.247498,2668836
28/7/14,836.25,846.75,830.213013,842.775024,745.426697,2300724
30/7/14,842.775024,848.5,836.400024,843.049988,745.669861,4967360
31/7/14,845,848.724976,835.799988,841.911987,744.663269,4228584
1/8/14,837.5,848,832.5,835.325012,738.837219,3803504
4/8/14,838.75,870.724976,837.325012,866.388,766.312134,6543480
5/8/14,869,880,867.513,878.25,776.804016,5492812
6/8/14,881.25,902.088013,881.25,893.963013,790.701904,9002092
7/8/14,874.75,886.099976,870.588013,876.838013,775.555054,3877112
8/8/14,875,880,868.75,870.661987,770.092468,1905676
11/8/14,881,895.924988,877.5,893.375,790.181885,2814336
12/8/14,899.75,899.75,885.25,894.200012,790.911621,2958468
13/8/14,890.013,906.25,887.687988,902.099976,797.899048,4470680
14/8/14,902,906.924988,896.650024,903.138,798.817139,3381240
18/8/14,903.138,903.138,887.5,889.950012,787.152527,3388944
19/8/14,890.25,897.25,882.5,886.950012,784.498962,3212412
20/8/14,890.75,895.625,886.75,888.638,785.991943,1969112
21/8/14,889.062012,890.849976,882.5,887.237,784.752869,2149440
22/8/14,887.237,902,887,900.25,796.262756,2427520
25/8/14,899.75,908.924988,890.513,906.950012,802.188904,2099176
26/8/14,905.5,910,900,906.036987,801.381226,2921064
27/8/14,907.5,912.5,900.275024,907.638,802.797424,2784936
28/8/14,907.25,908.411987,895.299988,899.700012,795.776367,3799652
1/9/14,899.700012,904.724976,896.25,899.911987,795.963806,1821576
2/9/14,900,906.25,888.888,903.437988,799.082458,1791916
3/9/14,902.5,936.599976,902.5,933.562012,825.72699,5928780
4/9/14,931.25,931.25,924.463013,927.187988,820.089233,3119232
5/9/14,933,948.75,926.338013,932.687988,824.953918,3234176
8/9/14,933.174988,947.625,933.174988,945.411987,836.208069,3258648
9/9/14,937,938.862,930,934.013,826.125793,2158400
10/9/14,927,927,915,916.825012,810.923157,2540376
11/9/14,918.5,924.924988,907.650024,921.036987,814.648743,2506516
12/9/14,922,927,912.5,917.474976,811.498169,1953776
15/9/14,916.25,917,906.825012,910.325012,805.174133,2479400
16/9/14,911.5,922.625,905.900024,912.812012,807.373779,2517452
17/9/14,919.974976,937.025024,917.775024,935.263,827.231445,3963060
18/9/14,918.487,932.424988,913.612,924.25,817.49054,4552388
19/9/14,924.75,946.974976,920.325012,925.513,818.607605,7377508
22/9/14,920,920.687988,908,912.650024,807.230469,4306020
23/9/14,911.25,920.862,898.888,901.775024,797.611633,6481152
24/9/14,907.5,918.062012,899.562012,911.200012,805.947876,2782280
25/9/14,912.5,929.700012,911.5,922.75,816.163757,12487756
26/9/14,921.25,930.062012,915.125,920.036987,813.76416,4432420
29/9/14,925.25,940.237,920.275024,937.263,829.000427,2498072
30/9/14,936.049988,939.075012,925.275024,936.937988,828.713013,3463684
1/10/14,930.5,964.987,930.5,961.825012,850.725281,4735432
7/10/14,961.825012,973.237,942.325012,957.825012,847.187317,10031728
8/10/14,946.25,948,910.25,912.536987,807.130493,10163840
9/10/14,925,928.5,906.474976,911.700012,806.39032,6216416
10/10/14,915,977,893.174988,972.161987,859.868286,22946528
13/10/14,972.325012,996.25,972.325012,985.638,871.787659,8863492
14/10/14,991.25,991.25,975,979.575012,866.424988,3430256
15/10/14,979.575012,979.575012,979.575012,979.575012,866.424988,0
16/10/14,975.025024,984.575012,963.588013,966.325012,881.708313,5008696
17/10/14,966.224976,980.700012,959.275024,962.911987,878.594116,4095008
20/10/14,963.25,965.638,950.525024,953.088013,869.630371,3851360
21/10/14,962.474976,962.474976,927.5,943.237,860.641907,13040692
22/10/14,952.325012,952.974976,944.049988,949.013,865.912231,2676660
27/10/14,951.213013,962.5,945.549988,950.763,867.508911,2709088
28/10/14,941.25,953.088013,941.25,947.062012,864.13208,3333184
29/10/14,953.237,973.174988,953.237,970.362,885.391785,4114668
30/10/14,974,995.312012,974,986.638,900.242432,7622604
31/10/14,996.763,1016.5,996.763,1012.809998,924.122803,4335400
3/11/14,1019.219971,1027.5,1008.109985,1021.469971,932.024414,4289204
5/11/14,1021.469971,1038.5,1014.25,1031.199951,940.902344,5120540
7/11/14,1031.199951,1045.75,1029.569946,1041.650024,950.437378,4985200
10/11/14,1043.76001,1045.280029,1035,1041.380005,950.191101,2797084
11/11/14,1041.25,1041.25,1025.949951,1031.300049,940.993713,3127544
12/11/14,1030.25,1037.680054,1024.280029,1026.5,936.613953,2696448
13/11/14,1030.5,1050.26001,1028.099976,1044.650024,953.174744,2478340
14/11/14,1048.5,1052.859985,1043.5,1047.910034,956.149231,2616588
17/11/14,1046.25,1056.969971,1037.030029,1054.609985,962.262573,2729092
18/11/14,1056.25,1056.949951,1043.030029,1045.589966,954.03241,2633560
19/11/14,1045,1047.48999,1034.939941,1043.339966,951.979309,2600560
20/11/14,1047.5,1058.119995,1045.959961,1056.400024,963.895813,2673964
21/11/14,1042.5,1044.75,1025.400024,1036.540039,945.774902,5231636
24/11/14,1050,1070.410034,1047.98999,1068.780029,975.191772,5523720
25/11/14,1073.75,1079.98999,1061.5,1075.800049,981.597107,7443288
26/11/14,1075,1079.430054,1067.900024,1075.109985,980.967529,3965400
27/11/14,1080.469971,1094.099976,1078,1091.469971,995.894897,8694516
28/11/14,1092.530029,1099.5,1085.849976,1089.959961,994.51709,7173632
1/12/14,1096.75,1100.550049,1073.150024,1087.459961,992.236023,9170932
2/12/14,1082.469971,1082.469971,1057.5,1063.300049,970.191589,5327496
3/12/14,1050.75,1066.469971,1042.280029,1061.75,968.777283,6387522
4/12/14,1055,1072.449951,1047.5,1050.900024,958.87738,4699614
5/12/14,1057.5,1058.300049,1029.900024,1035.150024,944.506592,3679380
8/12/14,1004.5,1009.5,978.875,985.075012,898.816345,83160204
9/12/14,991.375,993,976.224976,982.400024,896.37561,5025230
10/12/14,983,992.5,979.549988,981.875,895.896606,3902356
11/12/14,975.5,976.974976,957.5,960.525024,876.416138,4142966
12/12/14,969.525024,980.200012,959.049988,969.325012,884.445557,7286250
15/12/14,952.474976,978.625,952.450012,962.400024,878.126953,6483142
16/12/14,962.849976,975.799988,962.849976,969,884.149048,8896378
17/12/14,968,977.75,948.150024,969.25,884.377136,8925888
18/12/14,977,990.900024,972.375,982.950012,896.877502,9974990
19/12/14,998.799988,1004,993,999.325012,911.818604,7147316
22/12/14,1003,1005.049988,987.674988,999.799988,912.251953,5232552
23/12/14,1000.419983,1010.950012,981.799988,985.825012,899.500732,4098476
24/12/14,988,993.5,957.525024,965.275024,880.750244,13669744
26/12/14,965.275024,980.349976,965.275024,976.125,890.650146,1134374
29/12/14,978.025024,986.400024,976.25,978.900024,893.182129,1396338
30/12/14,981.125,987.5,978.400024,983.174988,897.082825,2320276
