Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Adj Close
2009-10-12,RELIANCE,EQ,2099.75,2120.0,2186.0,2120.0,2162.0,2169.05,2153.35,4496196,9.6818890985e+14,,2240071.0,0.4982,453.66214
2009-10-14,RELIANCE,EQ,2169.05,2175.0,2197.5,2152.65,2182.45,2184.2,2179.76,3335821,7.2712821713e+14,,1712691.0,0.5134,456.830414
2009-10-15,RELIANCE,EQ,2184.2,2199.0,2221.8,2165.0,2170.6,2171.5,2190.06,3250759,7.11934488045e+14,,1449404.0,0.4459,454.174133
2009-10-16,RELIANCE,EQ,2171.5,2170.0,2226.0,2161.0,2224.85,2218.75,2207.38,3357818,7.41199434925e+14,,1539356.0,0.4584,475.4422
2009-10-20,RELIANCE,EQ,2225.2,2245.0,2283.3,2177.85,2182.0,2184.55,2205.53,3161589,6.97298524165e+14,,1580757.0,0.5,468.113647
2009-10-21,RELIANCE,EQ,2184.55,2179.0,2209.0,2168.65,2179.0,2182.2,2190.85,2549442,5.5854398066e+14,,980652.0,0.3847,467.609741
2009-10-22,RELIANCE,EQ,2182.2,2182.0,2182.0,2121.0,2128.4,2135.2,2148.88,2310668,4.96534562685e+14,,904731.0,0.3915,457.538361
2009-10-23,RELIANCE,EQ,2135.2,2146.2,2154.3,2037.6,2051.25,2047.35,2080.02,5039726,1.04827368686e+15,,2429413.0,0.4821,438.713196
2009-10-26,RELIANCE,EQ,2047.35,2050.0,2068.0,2004.0,2016.0,2015.35,2030.49,3170009,6.43668147345e+14,,1252773.0,0.3952,431.856079
2009-10-27,RELIANCE,EQ,2015.35,2002.0,2010.0,1975.0,1985.0,1991.0,1989.9,3535555,7.03538725975e+14,,1617456.0,0.4575,426.638702
2009-10-28,RELIANCE,EQ,1991.0,1985.05,2043.35,1985.05,2036.2,2034.15,2022.72,2949900,5.96683449675e+14,,1161475.0,0.3937,435.885437
2009-10-29,RELIANCE,EQ,2034.15,2001.0,2043.9,1980.4,1986.0,1999.4,2012.93,3530103,7.1058496194e+14,,1501396.0,0.4253,428.438721
2009-10-30,RELIANCE,EQ,1999.4,2001.05,2035.0,1922.0,1927.0,1931.15,1958.58,4981242,9.75614131835e+14,,2230781.0,0.4478,413.814209
2009-11-03,RELIANCE,EQ,1931.15,1920.05,1924.8,1802.25,1811.3,1818.55,1872.37,4898276,9.171402948e+14,,2495463.0,0.5095,389.685883
2009-11-04,RELIANCE,EQ,1818.55,1850.0,1928.0,1832.7,1923.5,1920.7,1894.41,4567661,8.65303679095e+14,,2144187.0,0.4694,411.574554
2009-11-05,RELIANCE,EQ,1920.7,1909.15,1948.0,1851.0,1947.5,1941.15,1894.57,3438724,6.5148879617e+14,,801366.0,0.233,415.957123
2009-11-06,RELIANCE,EQ,1941.15,1930.0,1974.9,1930.0,1958.0,1957.5,1958.3,3498033,6.8501852335e+14,,1870274.0,0.5347,419.460205
2009-11-09,RELIANCE,EQ,1957.5,1975.0,2032.0,1961.6,2025.05,2024.4,2009.47,3278186,6.58741721875e+14,,1272691.0,0.3882,433.795807
2009-11-10,RELIANCE,EQ,2024.4,2040.0,2102.45,2005.0,2057.1,2054.5,2059.82,6326351,1.3031129791e+15,,2461562.0,0.3891,440.245728
2009-11-11,RELIANCE,EQ,2054.5,2068.0,2130.4,2035.65,2124.05,2114.0,2085.52,4183569,8.7249362705e+14,,1866765.0,0.4462,452.995544
2009-11-12,RELIANCE,EQ,2114.0,2125.0,2146.0,2084.0,2098.0,2101.25,2108.27,3808929,8.03024570295e+14,,1311566.0,0.3443,450.263062
2009-11-13,RELIANCE,EQ,2101.25,2090.0,2129.0,2084.1,2119.0,2119.5,2111.92,2557890,5.40207031355e+14,,692449.0,0.2707,454.174133
2009-11-16,RELIANCE,EQ,2119.5,2149.0,2161.9,2131.65,2150.0,2153.6,2147.53,2067266,4.4395259898e+14,,788197.0,0.3813,461.481232
2009-11-17,RELIANCE,EQ,2153.6,2160.0,2161.7,2107.0,2123.0,2132.35,2130.04,3005633,6.4021120086e+14,,944754.0,0.3143,456.928101
2009-11-18,RELIANCE,EQ,2132.35,2162.0,2162.0,2094.1,2101.0,2100.05,2110.9,3907563,8.2484718969e+14,,1940130.0,0.4965,450.006744
2009-11-19,RELIANCE,EQ,2100.05,2098.75,2109.9,2072.9,2083.0,2083.8,2091.89,2313331,4.8392326552e+14,,896493.0,0.3875,446.524231
2009-11-20,RELIANCE,EQ,2083.8,2080.0,2134.95,2065.0,2133.0,2123.3,2099.81,3088581,6.4854381396e+14,,1318011.0,0.4267,454.988434
2009-11-23,RELIANCE,EQ,2123.3,2160.0,2207.75,2133.05,2193.2,2194.95,2184.21,5528258,1.20748536914e+15,,2535125.0,0.4586,470.341431
2009-11-24,RELIANCE,EQ,2194.95,2192.0,2205.0,2168.1,2176.5,2177.2,2178.42,3472510,7.56458659125e+14,,1839093.0,0.5296,466.5383
2009-11-25,RELIANCE,EQ,2177.2,2185.75,2225.9,2169.9,2195.8,2194.7,2206.62,4152810,9.1636861779e+14,,2046556.0,0.4928,470.2883
2009-11-26,RELIANCE,EQ,2194.7,1111.0,1111.0,1053.3,1060.0,1063.75,1075.95,5079362,5.4651591104e+14,,1715999.0,0.3378,455.888397
2009-11-27,RELIANCE,EQ,1063.75,1050.0,1058.0,1011.0,1055.25,1045.95,1031.62,5821983,6.0060941974e+14,,2072064.0,0.3559,448.259918
2009-11-30,RELIANCE,EQ,1045.95,1062.5,1078.9,1054.0,1058.0,1063.5,1067.15,4130831,4.4082052868e+14,,1523861.0,0.3689,455.781342
2009-12-01,RELIANCE,EQ,1063.5,1075.0,1100.0,1067.2,1099.5,1098.0,1086.9,2859884,3.10842088995e+14,,1110830.0,0.3884,470.566895
2009-12-02,RELIANCE,EQ,1098.0,1105.25,1118.65,1091.2,1096.0,1100.45,1105.31,4727337,5.22518461985e+14,,2281472.0,0.4826,471.616852
2009-12-03,RELIANCE,EQ,1100.45,1104.9,1120.0,1092.1,1092.2,1099.65,1107.21,3980841,4.4076117518e+14,,1773971.0,0.4456,471.273926
2009-12-04,RELIANCE,EQ,1099.65,1091.0,1107.0,1080.3,1090.3,1088.4,1093.39,3191869,3.48997038265e+14,,1035850.0,0.3245,466.452606
2009-12-07,RELIANCE,EQ,1088.4,1088.0,1094.1,1050.0,1053.7,1055.0,1068.5,4725251,5.04894438095e+14,,2428747.0,0.514,452.138519
2009-12-08,RELIANCE,EQ,1055.0,1060.0,1084.45,1055.15,1081.05,1080.35,1074.94,4670917,5.02097493475e+14,,2027852.0,0.4341,463.002686
2009-12-09,RELIANCE,EQ,1080.35,1070.0,1078.0,1062.15,1072.3,1071.85,1071.41,2555542,2.7380397285e+14,,879232.0,0.344,459.359741
2009-12-10,RELIANCE,EQ,1071.85,1073.7,1082.0,1062.0,1068.05,1071.8,1072.31,2958917,3.17288817595e+14,,1162375.0,0.3928,459.338409
2009-12-11,RELIANCE,EQ,1071.8,1080.0,1088.0,1064.5,1072.0,1071.25,1076.77,3531678,3.80279412365e+14,,1386900.0,0.3927,459.102661
2009-12-14,RELIANCE,EQ,1071.25,1068.0,1084.0,1063.0,1067.0,1067.95,1074.34,3182678,3.41928989785e+14,,1220305.0,0.3834,457.688354
2009-12-15,RELIANCE,EQ,1067.95,1068.0,1074.0,1048.0,1049.0,1051.6,1060.24,3354156,3.556215449e+14,,1465924.0,0.437,450.681305
2009-12-16,RELIANCE,EQ,1051.6,1049.9,1055.0,1038.1,1052.0,1047.15,1045.76,3376882,3.5314215753e+14,,1583013.0,0.4688,448.7742
2009-12-17,RELIANCE,EQ,1047.15,1054.8,1054.8,1030.0,1032.7,1034.95,1038.94,3245059,3.3714294865e+14,,1268866.0,0.391,443.545654
2009-12-18,RELIANCE,EQ,1034.95,1035.0,1035.0,1005.0,1006.25,1007.65,1017.39,5025388,5.1127769901e+14,,2400051.0,0.4776,431.845795
2009-12-21,RELIANCE,EQ,1007.65,1001.0,1030.8,990.0,1013.5,1016.95,1014.94,5621862,5.70587727755e+14,,1552536.0,0.2762,435.831543
2009-12-22,RELIANCE,EQ,1016.95,1018.2,1028.8,1011.3,1019.0,1019.2,1020.79,3186287,3.25252877475e+14,,785011.0,0.2464,436.795746
2009-12-23,RELIANCE,EQ,1019.2,1025.0,1067.9,1021.4,1066.0,1066.2,1051.2,4903897,5.15497813045e+14,,1676075.0,0.3418,456.938354
2009-12-24,RELIANCE,EQ,1066.2,1075.0,1083.8,1058.35,1072.8,1076.3,1071.2,3691064,3.95386015535e+14,,1245899.0,0.3375,461.266907
2009-12-29,RELIANCE,EQ,1076.3,1079.0,1089.0,1070.0,1080.0,1080.25,1081.74,2782375,3.0098118518e+14,,1271973.0,0.4572,462.959778
2009-12-30,RELIANCE,EQ,1080.25,1079.8,1085.0,1069.5,1076.0,1076.05,1077.14,2121225,2.2848524652e+14,,873929.0,0.412,461.159821
